"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","87","92","6","57.108601","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","68","74","2","94.038498","0","0"
"Globals","0","3283","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","18","19","1","10.001554","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","10","11","1","5.468908","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","31","31","1","19.926540","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","13","13","1","6.735698","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","13","13","1","6.634351","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","5","5","1","3.187713","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","5","5","1","2.993850","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","11","11","1","6.878294","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","73","77","1","73.455109","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","105","109","1","114.610733","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","7","7","1","12.677786","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","596","646","1","311.312775","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","116","122","1","81.134819","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","160","160","1","374.247162","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","5","5","1","6.847765","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","11","11","1","25.875101","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","11","11","1","21.909201","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","28","1","47.101696","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","11","11","1","16.927147","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","5","5","1","9.249473","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","16","16","1","44.745743","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","11","11","1","25.895859","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","56","59","1","83.112701","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","48","48","1","96.242523","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","14","14","1","7.031109","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","20","20","1","7.542254","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","156","156","1","99.821815","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","925","950","1","428.488678","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","37","39","1","26.136297","0","0"
"/Game/FirstPerson/Meshes/BaseMaterial.BaseMaterial","0","56","56","1","44.427635","0","0"
"/Game/FirstPerson/Meshes/M_Silver.M_Silver","0","16","16","1","14.115126","0","0"
"/Game/FirstPerson/Meshes/M_Gold.M_Gold","0","16","16","1","13.715191","0","0"
"/Game/FirstPerson/Meshes/M_Copper.M_Copper","0","16","16","1","13.438392","0","0"
